ds,Year,Month,b_counts,Barnet 001A,Barnet 001B,Barnet 001C,Barnet 001D,Barnet 001E,Barnet 001F,Barnet 002A,Barnet 002B,Barnet 002C,Barnet 002D,Barnet 002E,Barnet 003A,Barnet 003B,Barnet 003C,Barnet 003D,Barnet 004A,Barnet 004B,Barnet 004C,Barnet 004D,Barnet 004E,Barnet 004F,Barnet 005A,Barnet 005B,Barnet 005C,Barnet 005D,Barnet 006A,Barnet 006B,Barnet 006C,Barnet 006D,Barnet 006E,Barnet 007A,Barnet 007B,Barnet 007C,Barnet 007D,Barnet 007E,Barnet 007F,Barnet 008A,Barnet 008B,Barnet 008C,Barnet 008D,Barnet 008E,Barnet 009A,Barnet 009B,Barnet 009C,Barnet 009D,Barnet 009E,Barnet 010A,Barnet 010B,Barnet 010C,Barnet 010D,Barnet 010E,Barnet 011A,Barnet 011B,Barnet 011C,Barnet 011D,Barnet 011E,Barnet 012A,Barnet 012B,Barnet 012C,Barnet 012D,Barnet 012E,Barnet 013A,Barnet 013B,Barnet 013C,Barnet 013D,Barnet 013E,Barnet 013F,Barnet 014A,Barnet 014B,Barnet 014C,Barnet 014D,Barnet 014E,Barnet 014F,Barnet 015A,Barnet 015B,Barnet 015C,Barnet 015D,Barnet 015E,Barnet 015F,Barnet 016A,Barnet 016B,Barnet 016C,Barnet 016D,Barnet 017A,Barnet 017B,Barnet 017C,Barnet 017D,Barnet 018A,Barnet 018B,Barnet 018C,Barnet 018D,Barnet 018E,Barnet 019A,Barnet 019B,Barnet 019C,Barnet 019D,Barnet 019E,Barnet 019F,Barnet 020A,Barnet 020B,Barnet 020C,Barnet 020D,Barnet 020E,Barnet 021A,Barnet 021B,Barnet 021C,Barnet 021D,Barnet 021E,Barnet 022A,Barnet 022B,Barnet 022C,Barnet 022D,Barnet 022E,Barnet 022F,Barnet 023A,Barnet 023B,Barnet 023C,Barnet 023D,Barnet 024A,Barnet 024B,Barnet 024C,Barnet 024D,Barnet 024E,Barnet 024F,Barnet 025A,Barnet 025B,Barnet 025C,Barnet 025D,Barnet 025E,Barnet 026A,Barnet 026B,Barnet 026C,Barnet 026D,Barnet 026E,Barnet 027A,Barnet 027B,Barnet 027C,Barnet 027D,Barnet 027E,Barnet 027F,Barnet 028A,Barnet 028B,Barnet 028C,Barnet 028D,Barnet 028E,Barnet 029A,Barnet 029B,Barnet 029C,Barnet 029D,Barnet 029E,Barnet 029F,Barnet 030A,Barnet 030B,Barnet 030D,Barnet 030E,Barnet 030F,Barnet 031A,Barnet 031B,Barnet 031C,Barnet 031D,Barnet 032A,Barnet 032B,Barnet 032C,Barnet 032D,Barnet 032E,Barnet 032F,Barnet 033A,Barnet 033B,Barnet 033C,Barnet 033D,Barnet 033E,Barnet 033F,Barnet 034A,Barnet 034B,Barnet 034C,Barnet 034D,Barnet 035A,Barnet 035B,Barnet 035C,Barnet 035D,Barnet 035E,Barnet 035F,Barnet 036A,Barnet 036B,Barnet 036C,Barnet 036D,Barnet 036E,Barnet 036F,Barnet 037A,Barnet 037B,Barnet 037C,Barnet 037D,Barnet 037E,Barnet 037F,Barnet 038A,Barnet 038B,Barnet 038C,Barnet 038D,Barnet 038E,Barnet 039A,Barnet 039B,Barnet 039C,Barnet 039D,Barnet 040A,Barnet 040B,Barnet 040C,Barnet 040D,Barnet 041A,Barnet 041B,Barnet 041C,Barnet 041D
2015-01,2015,1,356,0,2,2,1,2,2,1,1,1,3,1,2,0,1,3,1,4,1,1,6,0,2,1,3,1,3,1,1,1,4,2,2,1,0,3,1,1,0,2,4,0,2,6,2,0,1,3,2,1,1,1,3,4,1,1,6,0,3,4,1,0,2,1,0,1,0,0,0,1,0,2,3,0,0,0,1,3,0,1,2,2,0,0,1,1,0,2,0,3,0,1,0,2,4,2,5,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,2,0,0,3,0,4,0,0,2,2,1,4,1,4,3,4,0,0,1,6,0,1,5,1,3,1,0,3,4,6,4,1,2,0,2,0,2,0,1,2,0,4,1,1,2,3,1,1,5,0,1,3,0,1,0,4,4,5,4,2,2,2,5,4,1,2,5,1,0,1,3,0,5,1,0,2,0,1,1,2,0,3,1,1,5,0,0,1,3,1,5,5,4,4,3,3,4,1
2015-02,2015,2,304,0,1,5,0,1,1,2,1,2,0,1,2,1,0,3,1,0,4,0,0,1,3,1,1,0,0,0,3,1,2,0,0,0,6,1,1,2,2,1,2,1,2,0,2,2,4,1,3,3,1,2,0,0,1,1,1,2,0,1,2,1,1,0,2,3,2,1,2,1,2,0,0,1,3,2,0,0,0,0,1,2,2,2,0,1,0,2,0,1,0,2,0,0,1,2,2,1,0,0,1,1,0,4,0,2,0,0,0,0,2,0,2,0,2,0,1,1,2,1,0,1,1,1,1,7,4,6,4,0,2,1,0,2,0,1,4,2,2,3,2,0,7,2,3,1,4,0,2,1,2,0,2,2,1,0,0,0,0,0,0,3,3,2,3,1,1,1,1,1,2,2,1,2,2,1,1,0,3,2,3,2,2,0,1,1,4,0,0,2,0,2,3,0,1,4,5,2,3,2,1,2,0,2,4,3,1,1,1,9,0,0
2015-03,2015,3,303,1,1,4,0,3,0,0,1,1,4,1,1,2,1,0,0,1,1,0,0,0,3,1,1,0,0,1,0,1,2,0,1,0,0,0,1,2,2,3,2,1,0,2,1,1,1,2,1,2,2,1,3,3,0,1,1,1,0,2,1,0,2,0,0,0,0,1,2,0,3,2,0,3,1,2,0,2,0,0,3,1,1,3,4,2,1,1,1,2,1,1,1,2,0,1,1,4,2,2,1,1,2,2,2,0,0,0,2,0,3,1,2,0,1,1,0,2,1,3,1,1,2,2,2,1,1,3,1,5,0,0,0,0,1,1,3,1,1,1,1,3,1,1,5,4,0,2,1,1,3,0,1,2,1,2,0,0,2,0,1,2,2,0,3,2,4,2,1,0,5,2,0,2,0,5,1,0,4,3,1,1,1,1,2,0,2,2,3,0,1,4,0,1,3,1,2,0,4,1,5,0,1,6,2,3,6,1,2,0,6,1
2015-04,2015,4,284,0,4,0,2,1,0,0,1,0,2,1,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,3,0,1,0,1,0,0,0,0,1,2,2,0,0,0,2,1,1,3,0,0,3,0,0,2,0,5,3,1,2,1,3,6,2,2,0,0,0,1,0,0,2,4,0,2,3,1,1,3,2,3,0,1,0,1,0,2,5,2,0,0,0,0,1,0,2,1,3,3,1,1,0,0,0,0,1,0,2,0,0,2,1,0,2,5,1,2,2,3,1,2,0,1,1,1,0,3,1,3,1,1,0,1,0,2,1,1,1,3,2,2,0,0,2,0,1,1,3,0,2,0,1,1,2,0,2,3,2,2,1,2,3,0,2,1,7,1,0,0,2,3,1,1,1,4,5,3,3,0,3,0,3,1,1,1,0,2,2,3,3,6,0,3,3,1,6,2,1,4,3,3,1,0,0,3,1,3
2015-05,2015,5,295,3,2,2,0,3,0,1,1,1,0,0,1,3,0,0,1,1,2,2,4,1,2,0,1,0,1,1,1,1,2,3,3,0,1,1,4,4,1,5,3,1,0,0,0,1,1,1,0,0,0,1,1,0,2,0,0,0,1,0,3,0,1,3,0,4,2,1,2,1,2,0,0,0,3,1,1,2,0,0,2,5,3,2,2,1,1,3,1,0,5,1,2,1,1,1,2,0,0,1,0,0,2,1,2,2,0,0,2,0,2,1,1,0,2,2,0,2,2,1,1,2,3,3,3,1,2,4,2,2,2,0,0,0,0,1,2,0,0,2,0,3,1,2,1,2,0,0,1,1,0,1,3,1,3,4,1,0,0,0,0,4,1,3,1,2,0,1,0,0,1,2,1,1,0,2,1,0,1,6,0,3,1,0,2,1,3,1,1,1,0,0,4,1,0,3,2,3,3,0,1,2,2,4,2,2,1,2,3,9,2,2
2015-06,2015,6,250,1,2,0,1,0,1,1,2,2,2,1,1,0,0,0,0,0,0,1,1,0,1,1,2,1,1,3,0,2,1,2,1,2,1,1,1,1,2,1,2,2,0,4,0,0,0,0,1,0,0,1,2,2,1,0,0,2,1,0,3,2,0,1,1,1,0,0,2,0,0,1,1,1,0,2,2,1,0,1,2,0,0,2,3,1,1,2,0,2,1,1,0,1,0,1,1,0,1,1,0,1,2,5,1,0,3,0,2,0,0,0,1,0,6,2,0,2,2,2,0,4,5,1,0,0,0,2,3,1,0,0,1,2,1,0,0,1,1,1,1,2,1,2,1,0,1,0,1,0,1,0,1,2,0,3,0,1,1,3,0,3,1,3,3,3,1,3,1,1,1,0,0,2,1,1,5,1,2,5,1,1,1,2,2,0,1,1,0,1,0,1,0,2,0,3,2,1,3,1,5,1,1,3,3,0,0,1,4,0,1,1
2015-07,2015,7,255,2,1,0,0,0,1,1,1,0,3,1,1,0,0,0,2,1,0,6,0,0,1,1,1,0,0,2,0,1,2,1,0,1,2,0,2,0,1,0,1,0,0,0,0,1,0,1,0,1,2,1,0,1,1,1,1,2,0,1,3,4,1,0,1,3,5,1,3,0,1,0,1,1,0,1,1,1,2,1,1,2,3,4,0,3,1,1,3,0,0,0,3,3,0,0,2,1,3,0,0,0,0,1,1,2,0,3,1,1,2,0,1,4,1,0,0,2,0,1,0,1,1,1,0,1,2,1,0,2,1,2,1,1,0,2,0,2,1,4,0,3,2,2,1,1,0,0,0,2,1,0,0,3,0,5,1,3,1,0,1,2,1,0,4,1,2,0,1,6,2,1,0,4,1,2,3,1,1,4,1,4,1,1,0,1,0,3,1,4,0,1,1,0,1,2,0,2,4,1,0,0,0,0,4,0,1,1,4,1,1,1
2015-08,2015,8,250,0,0,0,1,3,0,2,1,0,4,1,0,3,0,0,1,1,1,3,0,1,4,1,1,0,0,1,0,0,0,1,0,0,0,1,2,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,2,0,1,0,1,0,0,2,1,1,2,2,1,0,3,1,0,0,0,3,3,2,1,0,0,2,1,1,2,5,1,0,0,1,1,3,3,1,0,1,2,0,2,0,0,0,2,2,1,2,0,4,0,0,0,1,2,0,0,2,0,7,1,2,1,3,1,2,1,3,2,3,3,3,0,2,0,5,0,2,0,0,0,5,3,3,0,2,2,1,0,1,0,2,2,0,1,1,1,0,1,3,0,1,1,3,1,2,2,1,2,1,3,3,1,0,0,1,1,4,2,2,1,3,0,2,0,1,0,1,0,1,0,2,2,1,2,1,1,1,1,0,4,0,1,0,6,1,0,2,0,1,0,0,1,1
2015-09,2015,9,287,1,0,2,0,2,0,2,0,0,3,3,0,0,0,2,3,1,1,1,0,0,0,3,0,1,2,5,0,6,1,3,0,1,3,0,0,4,0,4,0,2,1,1,3,4,3,1,1,2,0,0,2,1,0,0,2,1,1,0,1,2,1,0,1,0,3,2,0,0,0,0,2,1,1,2,1,1,0,1,2,1,4,0,0,2,0,0,2,1,2,0,0,3,0,0,0,3,2,0,0,0,0,0,1,2,0,1,0,2,0,2,5,3,1,0,0,2,0,1,5,4,2,2,2,2,2,1,1,4,1,2,1,1,0,0,1,1,0,1,0,2,0,1,6,3,2,0,1,0,5,0,0,1,3,1,1,1,2,3,3,3,1,3,1,4,3,2,1,2,0,0,1,0,3,4,3,1,0,2,1,3,1,2,2,1,4,1,0,1,0,0,1,0,4,3,0,2,2,0,2,2,3,3,1,0,0,1,2,1,2,0
2015-10,2015,10,366,0,3,6,1,1,3,2,7,1,3,1,3,3,0,0,1,1,0,4,2,1,1,3,6,1,2,8,3,0,4,2,3,1,0,4,2,4,3,0,0,3,0,2,1,2,0,2,3,1,1,3,0,1,4,2,1,2,0,4,0,2,2,0,0,0,1,4,1,1,0,0,1,0,1,1,2,3,1,0,4,2,5,3,2,8,1,5,0,0,1,0,2,2,0,0,1,3,1,2,3,3,6,0,0,2,1,1,1,1,0,0,0,2,2,2,1,3,1,2,0,2,3,4,1,1,7,5,3,3,0,0,0,1,0,2,3,1,1,2,4,0,1,0,2,2,0,1,0,2,3,2,1,0,1,1,0,3,1,1,1,5,1,6,1,1,2,0,3,3,0,0,1,2,1,4,2,3,1,2,1,1,0,6,6,1,3,0,0,1,0,2,1,2,0,0,0,2,2,0,1,1,0,2,2,0,1,4,0,6,1,2
2015-11,2015,11,431,1,2,3,0,4,0,0,1,1,4,1,1,2,0,0,0,3,1,2,1,1,3,2,0,3,1,1,0,2,5,1,2,2,1,0,3,4,3,0,0,0,3,6,0,2,3,1,3,1,0,3,3,4,1,0,3,3,1,4,2,4,2,0,0,2,2,6,2,2,0,0,1,3,0,4,2,3,0,1,4,3,3,4,3,4,1,2,2,1,1,4,1,0,0,1,1,2,2,1,2,2,4,7,1,1,1,3,2,3,0,1,2,0,1,1,3,5,1,3,1,3,2,1,0,2,4,5,3,4,0,0,0,1,1,2,7,3,0,3,4,0,0,4,3,2,2,6,0,2,3,1,1,0,1,2,1,5,3,3,1,6,2,1,1,1,3,0,3,3,3,1,2,1,3,3,5,3,2,1,0,3,1,5,0,2,2,3,3,3,1,1,3,1,2,4,1,4,6,2,2,3,2,7,2,2,2,2,0,4,2,5
2015-12,2015,12,328,3,2,2,0,1,1,1,2,1,4,0,0,3,0,2,0,0,1,0,4,0,6,2,1,0,1,2,1,2,1,1,2,1,1,2,1,6,0,1,0,1,1,1,0,2,0,2,4,0,0,0,1,0,2,0,1,2,3,0,1,2,0,0,4,1,2,2,0,0,0,1,1,0,3,0,1,3,3,1,1,2,1,3,1,5,2,2,3,1,3,2,3,1,2,0,1,1,1,0,1,3,2,2,0,1,1,0,3,0,0,0,0,0,1,7,0,3,0,4,0,3,2,3,0,0,5,6,1,1,1,4,0,3,0,1,1,1,0,4,1,1,1,2,0,2,0,3,4,2,0,0,3,0,2,3,0,1,1,0,3,1,0,6,0,1,5,0,0,3,1,2,0,1,4,2,0,1,0,2,0,4,2,3,2,2,0,2,0,1,1,4,0,1,0,2,2,1,5,2,0,2,1,6,4,8,2,2,1,4,3,1
2016-01,2016,1,375,0,3,3,0,2,0,1,3,1,7,0,2,1,0,0,0,0,0,3,2,0,2,2,1,1,2,2,0,0,1,9,2,0,0,1,2,3,3,1,1,1,0,2,0,0,1,0,1,1,3,1,2,1,4,2,3,2,0,2,1,3,2,0,0,0,1,1,1,1,0,1,1,1,2,5,4,0,1,1,2,2,2,4,1,1,0,3,4,1,4,2,1,3,4,0,1,4,3,1,3,2,2,0,1,1,2,1,1,0,1,1,1,0,3,0,1,1,2,2,1,0,3,4,1,6,0,3,2,2,4,3,0,4,2,2,2,0,0,1,0,2,1,2,2,3,3,2,1,2,1,1,4,0,0,3,0,2,2,0,2,3,2,3,2,1,1,4,7,8,4,4,4,2,2,4,4,1,3,6,1,1,0,2,3,1,6,1,1,0,1,2,3,2,2,2,0,4,2,1,2,2,1,2,4,3,2,0,3,1,0,1
2016-02,2016,2,324,1,1,0,3,3,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,4,1,2,3,4,1,0,1,2,1,0,2,1,3,0,3,0,2,1,0,0,2,1,0,4,2,1,0,1,3,0,3,0,2,1,0,3,0,3,1,0,1,0,1,2,2,0,1,1,2,0,4,2,2,3,1,3,1,2,0,1,1,2,0,1,0,1,2,3,3,2,1,0,2,2,1,2,1,1,2,1,3,1,1,0,1,0,3,0,0,1,2,1,0,1,3,1,3,0,1,5,6,1,0,0,0,1,4,1,5,0,2,1,4,2,0,0,3,1,0,3,2,6,1,1,3,0,0,0,1,2,0,2,1,1,3,0,0,0,0,1,5,1,1,1,1,4,4,2,3,1,0,1,2,0,3,3,3,4,3,4,1,1,1,2,1,1,1,0,1,4,1,2,5,3,6,3,2,2,0,2,7,1,1,0,3,0,3,3,2
2016-03,2016,3,312,3,0,4,1,1,2,2,3,0,0,0,4,1,0,2,0,0,0,1,3,1,2,3,3,2,4,3,1,2,0,3,1,2,2,2,2,0,2,1,0,1,2,3,3,1,4,0,2,1,2,0,3,4,2,0,1,0,3,0,2,1,1,0,0,0,1,1,1,0,0,2,1,3,5,2,0,0,6,0,1,3,1,2,2,1,0,3,3,0,1,1,1,3,0,0,2,1,1,0,1,4,2,1,0,1,0,0,0,0,0,0,1,0,0,2,3,1,1,2,2,3,1,3,0,0,1,1,1,2,1,1,0,2,1,2,1,0,2,1,0,0,1,1,3,2,0,1,0,1,1,0,0,0,2,2,1,6,2,1,3,4,3,2,2,2,9,1,1,1,3,0,0,2,2,7,1,2,0,2,1,1,0,1,2,0,1,2,4,1,0,2,2,1,0,2,0,0,1,4,6,1,2,5,2,0,2,1,1,3,2,0
2016-04,2016,4,236,2,1,1,1,0,1,1,1,1,1,0,2,0,0,2,1,0,1,3,1,1,2,3,2,0,1,4,0,1,1,1,1,0,0,2,1,0,2,2,3,1,0,0,0,0,3,1,0,0,2,3,1,0,1,1,0,3,0,1,0,0,1,0,0,2,3,2,0,1,0,0,0,1,1,2,1,0,0,0,3,1,1,0,0,1,0,0,0,2,5,0,2,3,0,1,1,2,0,0,0,3,1,1,0,0,0,1,1,0,0,0,1,0,2,0,3,2,2,3,1,0,3,1,1,0,2,0,1,1,1,0,1,1,0,2,0,1,1,2,0,4,1,1,2,1,2,2,1,1,1,4,0,0,1,0,1,2,0,0,1,1,1,1,0,1,1,0,2,3,2,0,0,0,1,6,1,0,2,5,2,2,2,4,3,3,2,1,1,2,1,0,0,0,0,2,3,1,1,1,1,1,3,3,1,0,0,0,2,1,1,1
2016-05,2016,5,265,2,1,3,3,2,1,0,0,1,1,1,0,1,0,0,0,1,0,3,0,0,1,0,2,1,3,0,2,1,5,0,1,1,0,3,2,1,0,3,2,1,0,2,0,2,2,1,3,0,2,1,2,1,1,2,3,0,1,0,2,2,0,0,1,1,2,1,0,1,0,0,0,0,0,4,0,0,1,0,2,1,1,1,4,4,2,1,2,0,3,1,2,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,3,2,1,3,1,0,3,1,1,1,1,1,0,3,0,1,0,1,1,1,2,2,0,2,1,0,0,4,0,1,1,2,2,4,2,2,0,1,0,0,2,0,2,3,1,7,0,0,2,2,0,0,2,0,3,0,1,1,0,0,0,1,2,0,1,0,1,3,1,2,0,0,5,1,1,4,2,2,1,1,0,2,2,2,2,0,6,1,6,5,0,6,0,2,1,2,1,1,0,2
2016-06,2016,6,234,1,1,1,0,0,2,1,2,0,0,1,1,1,0,0,0,0,2,1,2,0,2,0,0,0,1,1,0,3,0,1,1,2,1,1,0,2,2,1,1,3,0,3,0,0,2,3,1,0,1,0,0,1,2,2,1,0,0,0,0,0,0,0,0,1,1,2,1,0,0,3,0,2,2,3,0,2,3,1,0,1,1,1,5,0,1,3,1,1,0,0,1,3,2,1,2,0,4,3,0,0,2,0,0,0,0,0,2,0,0,1,0,3,1,2,0,3,2,1,0,2,1,2,2,4,2,2,4,0,0,0,0,3,0,0,0,2,0,1,0,1,2,0,1,1,1,1,1,0,1,2,1,0,5,0,3,0,0,1,5,2,2,1,0,1,2,0,1,3,1,0,2,1,1,0,1,3,0,0,1,2,0,5,0,0,5,0,1,0,1,0,0,0,1,0,1,2,4,1,0,0,4,2,0,2,1,0,2,4,0,1
2016-07,2016,7,224,1,0,0,1,2,1,0,1,1,3,1,1,1,0,0,0,2,0,1,0,0,0,1,1,2,3,0,0,0,2,1,0,2,0,2,2,0,1,1,0,2,1,2,1,0,1,4,0,1,2,1,0,1,1,2,3,0,1,0,1,4,0,0,1,1,1,0,0,1,0,0,2,0,2,3,1,1,4,2,0,0,0,2,2,2,0,0,0,0,1,5,1,0,1,1,0,3,0,0,2,0,1,0,0,0,0,1,0,2,1,2,0,0,1,0,0,1,4,0,0,1,2,5,0,2,2,1,4,1,0,0,1,3,1,0,1,0,1,1,0,6,1,3,3,1,1,1,2,0,0,0,0,1,2,1,1,1,0,1,4,2,1,0,1,1,0,1,3,0,1,0,3,0,4,3,0,0,1,3,0,1,0,3,1,0,2,2,3,0,0,2,0,0,0,1,2,2,0,0,2,0,1,1,2,2,1,1,0,1,0,1
2016-08,2016,8,299,0,1,3,0,1,1,0,0,2,2,0,0,0,1,0,0,0,3,0,1,1,0,1,4,2,4,2,0,0,1,3,0,1,0,0,2,0,2,2,1,1,0,0,0,2,1,2,1,0,3,2,1,2,0,1,2,7,2,1,0,5,1,1,1,0,0,3,3,1,1,0,1,1,2,1,0,3,4,4,1,2,1,4,1,2,3,3,2,2,0,1,1,0,1,1,0,2,1,1,1,1,0,2,1,1,1,2,1,0,0,0,2,1,4,0,0,7,1,2,0,1,3,4,0,1,1,1,4,1,1,1,1,2,1,1,0,1,0,1,1,1,1,2,2,1,3,4,1,1,1,1,0,1,1,1,4,1,0,1,0,3,0,3,0,4,0,3,1,0,2,1,2,2,0,3,2,1,0,2,2,1,1,0,3,1,1,1,1,5,2,0,2,0,1,2,1,3,2,1,1,1,1,6,5,2,1,2,2,4,4,1
2016-09,2016,9,213,0,0,0,0,1,0,0,3,2,2,1,0,0,0,1,0,2,0,2,1,0,2,1,0,1,1,0,0,1,2,1,1,1,0,2,0,1,3,1,1,0,1,0,0,0,0,3,0,0,2,4,1,1,1,0,2,0,0,2,0,1,0,0,1,1,1,1,1,0,1,1,0,2,5,2,2,6,0,0,0,0,2,1,0,2,1,1,2,3,0,2,1,1,2,3,0,0,0,1,1,2,2,4,0,1,0,1,0,1,0,0,3,0,2,1,1,1,1,2,0,0,1,6,0,0,0,1,1,0,0,2,1,1,1,0,0,0,1,1,1,4,0,2,1,3,1,0,1,0,1,1,1,0,1,2,1,2,0,2,2,0,0,0,0,0,3,0,1,0,1,4,2,1,1,1,2,0,1,0,1,1,0,2,0,0,1,3,0,1,2,2,2,1,0,0,2,1,1,0,2,0,0,2,2,1,1,0,0,4,1,0
2016-10,2016,10,229,0,3,2,2,0,0,3,1,1,0,0,3,0,0,4,2,1,4,0,2,2,1,0,2,0,1,1,1,0,4,2,0,2,1,2,1,1,2,0,2,0,1,2,0,1,2,1,0,0,0,4,1,1,1,0,3,0,0,1,0,0,1,0,1,1,1,3,0,1,0,1,1,2,1,2,0,5,1,1,0,0,1,2,1,1,2,1,1,1,1,1,1,3,0,2,1,0,1,0,4,0,0,0,2,0,0,1,1,1,0,0,0,0,0,2,1,0,2,3,1,0,4,2,0,1,0,0,2,1,1,0,0,2,0,0,0,0,1,2,0,2,2,0,2,2,2,1,0,1,1,1,0,0,0,0,0,1,0,0,1,2,2,2,2,2,4,0,2,1,2,2,1,1,4,2,1,0,0,3,0,0,1,0,1,1,1,2,1,0,1,2,2,0,1,0,2,0,2,0,3,3,2,1,3,0,0,1,0,1,1,1
2016-11,2016,11,345,0,0,2,0,3,3,0,1,0,3,1,0,2,0,1,3,1,1,5,0,1,1,0,0,1,3,1,2,0,0,5,3,1,1,0,2,2,2,2,2,3,1,1,2,3,1,1,1,1,1,0,3,2,1,1,3,1,0,2,4,0,3,0,2,0,0,2,3,1,0,1,4,2,1,2,2,2,1,2,1,1,2,2,2,1,3,3,1,3,3,1,2,5,2,1,1,3,1,3,1,0,0,2,0,3,1,1,1,0,2,0,3,2,0,1,2,2,0,3,2,5,1,4,8,3,2,3,2,1,1,0,0,0,3,1,1,3,2,4,0,2,1,1,0,1,2,0,2,0,1,0,2,0,1,3,0,2,2,1,0,3,1,1,1,2,4,0,3,2,0,1,0,4,1,4,0,2,0,5,2,3,0,2,1,0,5,2,2,3,2,6,0,0,0,2,4,1,3,3,2,1,1,3,5,6,1,1,0,1,2,0
2016-12,2016,12,278,1,2,3,1,2,2,0,4,0,2,1,1,2,0,1,2,2,3,3,3,0,3,3,1,2,1,1,1,0,1,1,1,1,0,1,2,3,1,1,1,3,0,1,0,1,2,0,0,0,1,0,0,0,2,1,2,1,1,0,0,3,1,0,0,2,0,3,0,1,0,4,0,0,3,0,3,1,2,1,2,1,1,0,0,0,0,4,1,2,2,2,1,0,2,2,1,1,0,1,1,1,2,1,1,1,0,1,2,0,1,2,2,1,8,1,3,1,2,0,2,9,3,2,3,1,0,1,1,1,0,1,3,0,0,0,2,0,0,2,0,3,2,2,1,2,0,1,0,0,0,1,3,1,1,0,1,1,3,2,0,2,1,1,0,2,0,0,3,2,2,0,3,0,1,2,2,0,1,3,1,0,0,0,0,2,4,1,1,0,2,0,3,1,0,1,2,1,2,1,3,3,2,2,4,2,2,1,1,1,0,2
2017-01,2017,1,287,2,3,1,0,7,3,0,2,0,2,0,1,2,0,3,0,2,3,3,0,1,1,1,0,0,2,1,0,2,0,2,0,2,0,1,2,2,0,2,1,0,0,1,1,2,2,1,0,1,1,4,1,3,0,2,1,2,0,2,0,0,1,2,2,0,1,2,0,0,0,1,4,0,0,2,1,2,2,1,1,2,0,1,0,3,1,0,1,2,3,3,1,1,3,0,3,1,0,0,0,1,1,0,2,1,0,0,0,0,1,4,1,0,1,3,1,0,2,3,0,1,3,2,2,2,1,3,0,3,0,4,0,0,0,0,1,0,0,4,0,4,4,1,4,0,0,1,1,0,1,1,2,0,1,0,0,2,3,4,0,1,4,2,4,2,2,0,1,1,2,1,2,1,0,3,3,1,0,4,0,1,3,3,3,1,1,1,0,3,6,0,4,1,1,2,0,0,4,2,2,0,1,1,1,2,1,1,2,3,1,1
2017-02,2017,2,277,3,0,2,0,4,3,0,2,4,1,3,1,1,0,1,2,2,1,1,2,1,2,2,0,1,0,1,0,1,1,4,0,0,1,4,0,2,0,1,2,0,0,3,0,3,1,1,2,1,1,0,1,2,1,1,1,0,0,3,0,0,1,0,3,3,0,0,2,3,1,0,1,2,1,2,2,2,1,0,1,2,1,3,1,2,2,3,1,0,2,1,1,2,0,2,5,0,1,1,0,0,1,1,0,1,0,4,2,1,0,1,1,0,5,2,2,3,1,2,0,1,1,1,2,0,0,2,4,1,1,2,0,0,0,2,2,1,0,3,1,1,3,2,2,1,0,1,0,1,3,0,1,0,1,2,0,1,0,1,1,4,0,0,2,1,4,1,1,1,1,0,0,1,2,1,1,1,0,0,2,6,0,1,2,0,0,1,3,4,1,2,2,1,1,0,4,0,2,1,3,0,2,3,0,1,2,4,0,3,0,1
2017-03,2017,3,336,0,0,2,1,0,1,1,0,0,1,1,1,0,1,0,0,0,2,1,3,2,1,0,0,1,2,1,1,1,1,2,1,0,1,0,2,0,0,1,6,3,0,2,0,1,1,1,0,0,0,1,1,3,0,0,0,4,2,1,1,1,1,1,1,1,0,2,3,2,2,1,2,4,1,3,1,0,0,1,1,2,4,1,4,4,3,1,3,3,2,0,2,1,2,1,0,4,2,0,0,0,2,3,1,3,1,2,1,1,1,1,3,6,3,0,0,3,2,1,1,3,1,3,2,3,1,3,7,5,1,0,3,1,1,0,1,1,0,2,2,1,6,1,2,0,0,0,1,2,2,0,0,1,3,0,2,1,2,1,2,2,1,1,1,1,3,1,2,1,4,1,0,2,3,1,3,0,2,0,2,2,2,1,3,1,6,4,1,4,0,3,3,1,4,2,3,4,2,2,1,0,1,3,4,2,1,4,1,8,1,3
2017-04,2017,4,256,3,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,2,1,0,0,0,1,1,0,0,2,0,1,2,1,4,0,0,1,1,0,2,0,1,0,0,3,1,2,0,1,0,1,1,0,1,0,2,0,1,0,0,0,1,0,1,1,1,2,4,1,0,0,3,1,1,1,2,2,2,0,0,3,2,1,4,0,2,3,4,2,0,5,3,3,1,0,0,0,2,3,0,1,1,1,4,5,1,2,4,4,0,0,2,2,1,2,0,1,1,2,3,1,3,1,1,1,1,1,0,0,2,0,2,2,0,3,3,1,0,0,3,2,1,1,2,1,0,0,0,1,0,1,1,3,2,2,0,4,2,3,1,0,0,0,1,2,1,3,0,2,3,1,0,2,3,1,0,1,1,2,1,1,0,0,3,0,1,4,1,1,1,1,3,3,0,0,2,0,2,3,2,1,0,1,0,1,3,3,1,0,1,0,0
